sample_id,category,status,num_rounds,num_crops,produced_final_answer,final_answer,gt_answer,exact_match,normalized_string_match,reached_turn_cap,reached_image_cap,first_gt_center_hit_turn,first_gt_coverage_10_turn,max_gt_coverage,ever_gt_center_hit,num_geometrically_irrelevant,irrelevant_crop_ratio,num_high_overlap_crops,parse_error_count,preprocessing_error_count,oom,runtime_seconds,stop_reason,error_type,error_message
TPROMPT3548aa15300e,Color Recognition,completed,7,6,True,black,Black,False,True,False,False,5,5,1.0,True,5,0.8333333333333334,0,0,0,False,2144.598742734641,answer,,
TPROMPT17518843f8cc,Color Recognition,completed,12,11,False,,Pink and green,False,False,True,True,1,1,1.0,True,9,0.8181818181818182,8,0,0,False,2015.263352142647,image_or_turn_cap,,
TPROMPT88dc50778928,Color Recognition,completed,2,1,True,The scissors in the cylindrical container are red.,Blue or cyan or green.,False,False,False,False,1,1,1.0,True,0,0.0,0,0,0,False,159.77792263403535,answer,,
TPROMPT65ab072c3b73,Color Recognition,completed,12,11,False,,Black,False,False,True,True,1,1,0.5981308411214953,True,0,0.0,9,0,0,False,3467.47946456261,image_or_turn_cap,,
TPROMPT5e284ebedfca,Entity Recognition,completed,4,3,True,A pink plush toy,Rotary dial telephone,False,False,False,False,1,1,1.0,True,0,0.0,0,0,0,False,512.9580358453095,answer,,
TPROMPT433eb7d38409,Entity Recognition,completed,12,11,False,,阿福早餐,False,False,True,True,3,3,1.0,True,9,0.8181818181818182,5,0,0,False,2302.5303846169263,image_or_turn_cap,,
TPROMPT3b824b5818d8,Entity Recognition,completed,6,5,True,The doll above the large orange-yellow book on the bookshelf is a red robot or action figure.,Shiro,False,False,False,False,1,1,1.0,True,4,0.8,0,0,0,False,1090.600986264646,answer,,
TPROMPT37318e20e89a,Entity Recognition,completed,4,3,True,The cyan object is a toy figure.,Landline phone,False,False,False,False,,,0.0,False,3,1.0,0,0,0,False,491.93961796723306,answer,,
TPROMPTc0529c3ff153,OCR Recognition,completed,4,3,True,京东秒送,30,False,False,False,False,,,0.0,False,3,1.0,0,0,0,False,371.90275114029646,answer,,
TPROMPT13b616f8c9dc,OCR Recognition,completed,5,4,True,文和,地道長沙味,False,False,False,False,1,1,1.0,True,1,0.25,0,0,0,False,764.0560762733221,answer,,
TPROMPT11712e5ce7e5,OCR Recognition,completed,12,11,False,,金榜鸭脖,False,False,True,True,1,1,1.0,True,0,0.0,8,0,0,False,2950.4400853496045,image_or_turn_cap,,
TPROMPT28c29c1db01e,OCR Recognition,completed,3,2,True,武汉正宗,提拉米苏,False,False,False,False,1,1,1.0,True,0,0.0,0,0,0,False,423.93555335886776,answer,,
TPROMPT6a35efbe56dd,Occluded Object Recognition,invalid,8,7,False,,大明星戏院,False,False,False,False,3,3,1.0,True,2,0.2857142857142857,2,1,0,False,3508.1333808843046,unparsed_model_output,,
TPROMPT70cc4aa9b0ad,Occluded Object Recognition,invalid,7,6,False,,莎莎,False,False,False,False,1,1,1.0,True,0,0.0,3,1,0,False,2688.524697257206,unparsed_model_output,,
TPROMPTf75544649373,Occluded Object Recognition,completed,3,2,True,The object with pink handles is a watering can.,Kids' scooter,False,False,False,False,1,1,1.0,True,0,0.0,0,0,0,False,355.79510445706546,answer,,
TPROMPT176f197b8403,Occluded Object Recognition,completed,12,11,False,,Water bottle,False,False,True,True,1,1,1.0,True,0,0.0,8,0,0,False,2351.480200028047,image_or_turn_cap,,
TPROMPTb85097d0357f,Spatial Relationship,completed,12,11,False,,《向日葵不开的夏天》,False,False,True,True,,,0.07142857142857142,False,11,1.0,7,0,0,False,2033.7393536437303,image_or_turn_cap,,
TPROMPT4636b72ec2d0,Spatial Relationship,completed,6,5,True,MO-MO-PARADISE,CUSTOMA,False,False,False,False,,,0.0,False,5,1.0,0,0,0,False,710.5660289954394,answer,,
TPROMPTdcc8e5320bb5,Spatial Relationship,completed,3,2,True,妙脆角,'真实惠金虾条',False,False,False,False,,,0.0,False,2,1.0,0,0,0,False,348.9173045530915,answer,,
TPROMPTcc36d493e6fa,Spatial Relationship,invalid,6,5,False,,Apple-flavored jelly,False,False,False,False,,,0.0,False,5,1.0,1,1,0,False,1609.4815654195845,unparsed_model_output,,
